symbol,strategy,signal_type,action,price,confidence,generated_at,reason,indicators,position_size,signal_hash,trend_strength,super_trend,timestamp
LEU,a8,RSI_OVERSOLD,BUY,247.9899,0.5007116975319102,2025-12-13T19:54:23.984927,RSI超卖: 26.2 <= 30,"{'rsi': 26.196622685106732, 'rsi_threshold': 30, 'distance': 3.803377314893268}",2,86de838b,,,
LEU,a35,MLP_NN_SELL,SELL,247.9899,0.3078767143912484,2025-12-13T19:54:24.553312,MLP神经网络预测下跌: -7.70%,"{'predicted_change': -0.0769691785978121, 'predicted_price': np.float64(228.90232109644643), 'model_trained': '2025-12-13T19:54:24.551053', 'network_layers': (100, 50, 25)}",2,ff03e87c,,,
TSM,a35,MLP_NN_SELL,SELL,292.19,0.1541365143293037,2025-12-13T19:54:26.015897,MLP神经网络预测下跌: -3.85%,"{'predicted_change': -0.038534128582325924, 'predicted_price': np.float64(280.9307129695302), 'model_trained': '2025-12-13T19:54:26.013416', 'network_layers': (100, 50, 25)}",2,e1250d94,,,
RTX,a33,PIVOT_R1_BREAKOUT,BUY,179.0,0.7790911126035651,2025-12-13T19:54:30.615248,Pivot R1突破: 179.00 > 178.68,"{'pivot': np.float64(178.67999999999998), 'r1': np.float64(178.67999999999995), 's1': np.float64(178.67999999999995), 'breakout_strength': np.float64(0.001790911126035651), 'breakout_level': 'r1'}",3,73a667ee,,,
RTX,a35,MLP_NN_SELL,SELL,179.0,0.2615817166256861,2025-12-13T19:54:30.676091,MLP神经网络预测下跌: -6.54%,"{'predicted_change': -0.06539542915642152, 'predicted_price': np.float64(167.29421818100056), 'model_trained': '2025-12-13T19:54:30.673939', 'network_layers': (100, 50, 25)}",3,e708edbc,,,
AMAT,a35,MLP_NN_SELL,SELL,259.08,0.26284550128469675,2025-12-13T19:54:32.005571,MLP神经网络预测下跌: -6.57%,"{'predicted_change': -0.06571137532117419, 'predicted_price': np.float64(242.05549688179016), 'model_trained': '2025-12-13T19:54:32.002870', 'network_layers': (100, 50, 25)}",2,9e76632a,,,
AFRM,a8,RSI_NEUTRAL_REVERSAL,SELL,67.14,0.45,2025-12-13T19:54:35.704925,RSI 从 71.6 回落到 49.6,{'rsi': 49.63476985428127},10,fc12e6a8,,,
AFRM,a33,PIVOT_S1_BREAKOUT,SELL,67.14,0.8999999999999999,2025-12-13T19:54:35.945122,Pivot S1跌破: 67.14 < 67.50,"{'pivot': np.float64(67.5), 'r1': np.float64(67.5), 's1': np.float64(67.5), 'breakout_strength': np.float64(0.0053333333333333245), 'breakout_level': 's1'}",10,53c47215,,,
MRVL,a35,MLP_NN_SELL,SELL,84.2636,0.14931599246442787,2025-12-13T19:54:40.880709,MLP神经网络预测下跌: -3.73%,"{'predicted_change': -0.037328998116106966, 'predicted_price': np.float64(81.1181242343436), 'model_trained': '2025-12-13T19:54:40.878140', 'network_layers': (100, 50, 25)}",8,eea166db,,,
TWLO,a33,PIVOT_S1_BREAKOUT,SELL,132.45,0.8560433767603008,2025-12-13T19:54:43.210900,Pivot S1跌破: 132.45 < 132.79,"{'pivot': np.float64(132.79), 'r1': np.float64(132.79), 's1': np.float64(132.79), 'breakout_strength': np.float64(0.002560433767603008), 'breakout_level': 's1'}",5,46e49563,,,
